title,director,price,name,gender,age
Ayla: The Daughter of War,Can Ulkay,17000,Mateo,male,71
City Lights,Charles Chaplin,10000,Noah,male,36
Spider-Man: Into the Spider-Verse,Bob Persichetti,25000,Luna,female,85
The Shining,Stanley Kubrick,20000,Eleanor,female,20
Avengers: Endgame,Anthony Russo,15000,Mason,male,52
"Il buono, il brutto, il cattivo",Sergio Leone,17000,Layla,female,62
Anand,Hrishikesh Mukherjee,17000,Olivia,female,78
The Usual Suspects,Bryan Singer,15000,Liam,male,34
Eternal Sunshine of the Spotless Mind,Michel Gondry,10000,Camila,female,32
The Great Dictator,Charles Chaplin,15000,Owen,male,68
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,17000,Sebastian,male,21
Once Upon a Time in the West,Sergio Leone,15000,Olivia,female,65
Oldeuboi,Chan-wook Park,10000,Layla,female,77
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,20000,Daniel,male,53
Star Wars,George Lucas,15000,Mila,female,63
The Dark Knight Rises,Christopher Nolan,17000,Jack,male,38
Andhadhun,Sriram Raghavan,20000,Wyatt,male,86
Vikram Vedha,Gayatri,17000,Benjamin,male,61
1917,Sam Mendes,15000,Sophia,female,22
Star Wars,George Lucas,20000,Aria,female,26
1917,Sam Mendes,25000,Charlotte,female,66
Alien,Ridley Scott,8500,Jacob,male,29
Mononoke-hime,Hayao Miyazaki,20000,Elizabeth,female,88
Raiders of the Lost Ark,Steven Spielberg,10000,Joseph,male,23
The Matrix,Lana Wachowski,8500,James,male,38
Eternal Sunshine of the Spotless Mind,Michel Gondry,8500,Mia,female,69
The Lord of the Rings: The Return of the King,Peter Jackson,20000,Nora,female,82
Raiders of the Lost Ark,Steven Spielberg,8500,Henry,male,80
Oldeuboi,Chan-wook Park,8500,Mason,male,49
The Departed,Martin Scorsese,20000,Madison,female,39
Shichinin no samurai,Akira Kurosawa,20000,Sophia,female,57
The Dark Knight,Christopher Nolan,17000,Jackson,male,63
Anand,Hrishikesh Mukherjee,15000,Harper,female,46
The Dark Knight Rises,Christopher Nolan,25000,Charlotte,female,54
Goodfellas,Martin Scorsese,15000,Jacob,male,72
Tumbbad,Rahi Anil Barve,10000,Nora,female,44
1917,Sam Mendes,15000,Ava,female,51
Ayla: The Daughter of War,Can Ulkay,15000,Ethan,male,62
Alien,Ridley Scott,15000,Emily,female,72
Paths of Glory,Stanley Kubrick,17000,Ethan,male,67
Inglourious Basterds,Quentin Tarantino,15000,Scarlett,female,54
La vita è bella,Roberto Benigni,20000,Mason,male,22
American History X,Tony Kaye,10000,Elijah,male,72
City Lights,Charles Chaplin,25000,Wyatt,male,81
Soorarai Pottru,Sudha Kongara,20000,Camila,female,17
Saving Private Ryan,Steven Spielberg,17000,Luna,female,66
It's a Wonderful Life,Frank Capra,17000,Daniel,male,47
The Great Dictator,Charles Chaplin,25000,Eleanor,female,61
Casablanca,Michael Curtiz,25000,Noah,male,22
WALL·E,Andrew Stanton,10000,Mason,male,33
Shichinin no samurai,Akira Kurosawa,17000,Penelope,female,43
Modern Times,Charles Chaplin,20000,Ava,female,63
The Lion King,Roger Allers,8500,Aiden,male,18
The Intouchables,Olivier Nakache,25000,Mason,male,36
Inglourious Basterds,Quentin Tarantino,15000,Alexander,male,66
1917,Sam Mendes,10000,Mason,male,70
Inglourious Basterds,Quentin Tarantino,25000,Joseph,male,57
Alien,Ridley Scott,17000,Aria,female,35
It's a Wonderful Life,Frank Capra,17000,Nora,female,19
Eternal Sunshine of the Spotless Mind,Michel Gondry,17000,Abigail,female,62
The Shining,Stanley Kubrick,20000,Samuel,male,82
Hotaru no haka,Isao Takahata,10000,Michael,male,36
Witness for the Prosecution,Billy Wilder,25000,Logan,male,88
Spider-Man: Into the Spider-Verse,Bob Persichetti,15000,Elizabeth,female,56
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,20000,Evelyn,female,76
Coco,Lee Unkrich,17000,William,male,81
The Matrix,Lana Wachowski,10000,Alexander,male,90
The Great Dictator,Charles Chaplin,25000,Camila,female,35
The Green Mile,Frank Darabont,20000,Jacob,male,83
Once Upon a Time in America,Sergio Leone,8500,Mia,female,70
Casablanca,Michael Curtiz,15000,Wyatt,male,17
The Lives of Others,Florian Henckel von Donnersmarck,20000,Penelope,female,48
Gisaengchung,Bong Joon Ho,8500,Abigail,female,86
The Departed,Martin Scorsese,25000,Henry,male,47
Miracle in cell NO.7,Mehmet Ada Öztekin,15000,James,male,73
The Godfather: Part II,Francis Ford Coppola,25000,Logan,male,21
Saving Private Ryan,Steven Spielberg,25000,Scarlett,female,50
Andhadhun,Sriram Raghavan,8500,John,male,17
Good Will Hunting,Gus Van Sant,17000,Harper,female,37
Django Unchained,Quentin Tarantino,25000,Ava,female,67
Sen to Chihiro no kamikakushi,Hayao Miyazaki,17000,Jackson,male,23
The Usual Suspects,Bryan Singer,25000,Ellie,female,26
Avengers: Infinity War,Anthony Russo,17000,Owen,male,49
The Green Mile,Frank Darabont,20000,Noah,male,35
Vikram Vedha,Gayatri,10000,Olivia,female,36
The Lives of Others,Florian Henckel von Donnersmarck,15000,John,male,51
The Departed,Martin Scorsese,15000,Avery,female,87
Gladiator,Ridley Scott,17000,Michael,male,90
Snatch,Guy Ritchie,10000,Jackson,male,90
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,20000,Wyatt,male,67
Spider-Man: Into the Spider-Verse,Bob Persichetti,10000,Aria,female,18
Casablanca,Michael Curtiz,8500,Sebastian,male,66
Miracle in cell NO.7,Mehmet Ada Öztekin,10000,Sofia,female,46
Fight Club,David Fincher,10000,Olivia,female,18
Oldeuboi,Chan-wook Park,8500,Mateo,male,73
Star Wars,George Lucas,8500,Hazel,female,18
Requiem for a Dream,Darren Aronofsky,10000,Emma,female,27
Capharnaüm,Nadine Labaki,15000,Ellie,female,46
Good Will Hunting,Gus Van Sant,8500,Samuel,male,71
Avengers: Infinity War,Anthony Russo,8500,Olivia,female,71
